D00210.001,D00120.001
0.981955,1.266055
4.806931,0.579503
0.264055,2.397555
0.546097,2.899198
3.549499,0.646338
0.300114,1.344396
0.291454,1.837188
4.471560,1.307754
0.402227,1.316461
0.435403,1.962020
1.096825,1.560838
0.966026,1.145941
4.564966,2.226598
0.163581,2.256422
1.745086,2.503158
3.745426,2.963261
4.475307,0.889521
0.117050,1.083010
0.165481,0.625452
0.392291,0.580202
0.082192,0.905520
0.516377,2.113439
6.372095,1.242256
0.438479,3.154065
0.129061,3.774973
0.766125,1.552443
6.461648,0.600915
-0.017044,0.499298
3.326880,1.751587
0.117048,1.318493
3.598422,1.502205
0.425386,1.126543
0.249599,1.937321
0.002420,1.451074
2.948390,2.560137
0.563281,1.839976
1.472938,1.789716
1.237023,1.030851
0.307194,0.453780
2.675751,3.719040
1.665077,0.746804
1.795261,1.797598
2.083858,1.763892
5.217894,0.954983
1.169368,2.093462
1.747908,1.521872
0.401610,2.364361
2.823266,1.107065
0.299449,1.641979
1.464228,0.657302
4.714926,0.296600
2.305745,2.712977
0.010633,0.905694
0.041553,1.520691
1.754589,1.520767
0.453245,1.386180
6.810692,0.747833
4.763691,1.703740
0.985791,1.813167
1.779657,0.039818
1.592455,0.730041
7.168128,2.317903
4.967987,1.693975
3.039237,1.256709
6.937759,1.789326
0.641914,0.375725
4.924770,0.702937
0.440763,0.910768
0.530021,0.961614
3.326980,1.935331
0.326972,1.249825
5.232391,2.844802
0.114267,0.727052
4.068990,1.282473
0.148082,2.208352
1.679429,1.603811
5.421488,1.048788
0.098130,2.052739
0.281132,1.001817
0.147107,1.047046
0.011371,2.095038
0.104380,0.506009
0.413125,0.760681
0.740846,0.055153
4.077767,2.683115
0.615392,1.757149
2.999885,1.500382
0.202489,1.658032
1.973086,1.360152
0.039500,1.720322
2.026807,0.549561
0.136358,0.843091
0.393179,2.306619
1.102077,1.179781
0.077961,2.471257
6.276237,1.933061
0.693215,1.492590
0.712571,1.167151
0.079370,1.338926
-0.081789,1.384173
0.544802,2.625243
0.048609,0.454523
0.039599,2.346104
3.534439,1.541694
2.560553,1.067198
4.150324,2.438052
0.056636,1.185372
0.442411,1.200061
4.816882,1.564736
0.241408,1.309258
0.002258,1.035434
1.356863,0.963429
0.465055,1.207509
0.864961,0.943175
0.446049,1.393043
0.267520,1.072941
0.218896,1.660744
0.167762,0.822090
4.852462,1.344184
6.195172,2.385227
6.144551,1.267861
2.097877,0.687804
3.853375,1.895051
1.541009,2.369860
-0.025675,0.531304
3.472631,0.989822
0.283071,1.499475
1.446203,0.982018
2.421995,1.418257
0.559486,1.640767
3.540428,1.241293
-0.047239,-0.139600
-0.009433,1.137251
5.284736,1.227568
-0.051763,0.540936
0.682678,1.077487
1.601336,0.244058
1.107706,1.001341
1.050417,1.637892
0.871315,1.552648
0.634853,1.696198
0.057183,1.462867
0.175404,0.513832
-0.018971,0.716007
6.142539,1.293078
0.792850,3.504055
-0.132285,0.889178
0.979847,0.426991
-0.017501,1.507483
1.169996,1.787162
1.643654,2.591994
0.626178,0.922586
0.257995,2.282212
1.151779,3.602601
1.064451,1.793761
0.195080,1.372514
0.643477,1.624990
0.295279,0.769049
6.324647,3.199750
3.370218,0.704492
3.589366,2.598514
0.400071,2.137826
0.425865,2.454076
2.165355,1.443832
2.298290,2.383515
0.218781,2.215874
3.414334,1.110585
0.229893,1.306547
2.386451,0.996656
0.198359,1.498914
4.048385,1.183728
0.343330,1.646429
0.346441,1.752328
2.539270,2.218771
0.048495,1.563495
